ICD-10 Code,Description,Matters from an Anaesthesia perspective,"Suggested value on ""surgical"" CC lists",Comment
C771,Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes,Yes,1,
C772,Secondary and unspecified malignant neoplasm: Intra-abdominal lymph nodes,No,,
C773,Secondary and unspecified malignant neoplasm: Axillary and upper limb lymph nodes,No,,
C774,Secondary and unspecified malignant neoplasm: Inguinal and lower limb lymph nodes,No,,
C775,Secondary and unspecified malignant neoplasm: Intrapelvic lymph nodes,No,,
C778,Secondary and unspecified malignant neoplasm: Lymph nodes of multiple regions,No,,
C779,"Secondary and unspecified malignant neoplasm: Lymph node, unspecified",No,,
C780,Secondary malignant neoplasm of lung,No,,
C781,Secondary malignant neoplasm of mediastinum,Yes,1,
C782,Secondary malignant neoplasm of pleura,No,,
C783,Secondary malignant neoplasm of other and unspecified respiratory organs,No,,
C784,Secondary malignant neoplasm of small intestine,No,,
C785,Secondary malignant neoplasm of large intestine and rectum,No,,
C786,Secondary malignant neoplasm of retroperitoneum and peritoneum,No,,
C787,Secondary malignant neoplasm of liver and intrahepatic bile duct,Yes,1,
C788,Secondary malignant neoplasm of other and unspecified digestive organs,No,,
C790,Secondary malignant neoplasm of kidney and renal pelvis,No,,
C791,Secondary malignant neoplasm of bladder and other and unspecified urinary organs,No,,
C792,Secondary malignant neoplasm of skin,No,,
C793,Secondary malignant neoplasm of brain and cerebral meninges,Yes,1,
C794,Secondary malignant neoplasm of other and unspecified parts of nervous system,No,,
C795,Secondary malignant neoplasm of bone and bone marrow,No,,
C796,Secondary malignant neoplasm of ovary,No,,
C797,Secondary malignant neoplasm of adrenal gland,Yes,1,
C798,Secondary malignant neoplasm of other specified sites,No,,
C799,"Secondary malignant neoplasm, unspecified site",No,,
C800,"Malignant neoplasm, primary site unknown, so stated",No,,
C809,"Malignant neoplasm, primary site unspecified",No,,
C810,Nodular lymphocyte predominant Hodgkin lymphoma,No,,
C811,Nodular sclerosis (classical) Hodgkin lymphoma,No,,
C812,Mixed cellularity (classical) Hodgkin lymphoma,No,,
C813,Lymphocyte depleted (classical) Hodgkin lymphoma,No,,
C814,Lymphocyte-rich (classical) Hodgkin lymphoma,No,,
C817,Other (classical) Hodgkin lymphoma,No,,
C819,"Hodgkin lymphoma, unspecified",No,,
C820,Follicular lymphoma grade I,No,,
C821,Follicular lymphoma grade II,No,,
C822,"Follicular lymphoma grade III, unspecified",No,,
C823,Follicular lymphoma grade IIIa,No,,
C824,Follicular lymphoma grade IIIb,No,,
C825,Diffuse follicle centre lymphoma,No,,
C826,Cutaneous follicle centre lymphoma,No,,
C827,Other types of follicular lymphoma,No,,
C829,"Follicular lymphoma, unspecified",No,,
C830,Small cell B-cell lymphoma,No,,
C831,Mantle cell lymphoma,No,,
C833,Diffuse large B-cell lymphoma,No,,
C835,Lymphoblastic (diffuse) lymphoma,No,,
C837,Burkitt lymphoma,No,,
C838,Other non-follicular lymphoma,No,,
C839,"Non-follicular (diffuse) lymphoma, unspecified",No,,
C840,Mycosis fungoides,No,,
C841,Sezary disease,Yes,1,difficult cannulation
C844,"Peripheral T-cell lymphoma, not elsewhere classified",No,,
C845,Other mature T/NK-cell lymphomas,No,,
C846,"Anaplastic large cell lymphoma, ALK-positive",No,,
C847,"Anaplastic large cell lymphoma, ALK-negative",No,,
C848,"Cutaneous T-cell lymphoma, unspecified",No,,
C849,"Mature T/NK-cell lymphoma, unspecified",No,,
C851,"B-cell lymphoma, unspecified",No,,
C852,Mediastinal (thymic) large B-cell lymphoma,No,,
C857,Other specified types of non-Hodgkin lymphoma,No,,
C859,"Non-Hodgkin lymphoma, unspecified",No,,
C860,"Extranodal NK/T-cell lymphoma, nasal type",No,,
C861,Hepatosplenic T-cell lymphoma,No,,
C862,Enteropathy-type (intestinal) T-cell lymphoma,No,,
C863,Subcutaneous panniculitis-like T-cell lymphoma,No,,
C864,Blastic NK-cell lymphoma,No,,
C865,Angioimmunoblastic T-cell lymphoma,No,,
C866,Primary cutaneous CD30-positive T-cell proliferations,No,,
C880,Waldenstrom macroglobulinaemia,No,,
C882,Other heavy chain disease,No,,
C883,Immunoproliferative small intestinal disease,No,,
C884,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],No,,
C887,Other malignant immunoproliferative diseases,No,,
C889,"Malignant immunoproliferative disease, unspecified",No,,
C900,Multiple myeloma,No,,
C901,Plasma cell leukaemia,No,,
C902,Extramedullary plasmacytoma,No,,
C903,Solitary plasmacytoma,No,,
C910,Acute lymphoblastic leukaemia [ALL],No,,
C911,Chronic lymphocytic leukaemia of B-cell type,No,,
C913,Prolymphocytic leukaemia of B-cell type,No,,
C914,Hairy-cell leukaemia,No,,
C915,Adult T-cell lymphoma/leukaemia [HTLV-1-associated],No,,
C916,Prolymphocytic leukaemia of T-cell type,No,,
C917,Other lymphoid leukaemia,No,,
C918,Mature B-cell leukaemia Burkitt-type,No,,
C919,"Lymphoid leukaemia, unspecified",No,,
C920,Acute myeloblastic leukaemia [AML],No,,
C921,"Chronic myeloid leukaemia [CML], BCR/ABL-positive",No,,
C922,"Atypical chronic myeloid leukaemia, BCR/ABL-negative",No,,
C923,Myeloid sarcoma,No,,
C924,Acute promyelocytic leukaemia [PML],No,,
C925,Acute myelomonocytic leukaemia,No,,
C926,Acute myeloid leukaemia with 11q23-abnormality,No,,
C927,Other myeloid leukaemia,No,,
C928,Acute myeloid leukaemia with multilineage dysplasia,No,,
C929,"Myeloid leukaemia, unspecified",No,,
C930,Acute monoblastic/monocytic leukaemia,No,,
C931,Chronic myelomonocytic leukaemia,No,,
C933,Juvenile myelomonocytic leukaemia,No,,
C937,Other monocytic leukaemia,No,,
C939,"Monocytic leukaemia, unspecified",No,,
C940,Acute erythroid leukaemia,No,,
C942,Acute megakaryoblastic leukaemia,No,,
C943,Mast cell leukaemia,No,,
C944,Acute panmyelosis with myelofibrosis,No,,
C946,"Myelodysplastic and myeloproliferative disease, not elsewhere classified",No,,
C947,Other specified leukaemias,No,,
C950,Acute leukaemia of unspecified cell type,No,,
C951,Chronic leukaemia of unspecified cell type,No,,
C957,Other leukaemia of unspecified cell type,No,,
C959,"Leukaemia, unspecified",No,,
C960,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease],No,,
C962,Malignant mast cell tumour,No,,
C964,Sarcoma of dendritic cells (accessory cells),No,,
C965,Multifocal and unisystemic Langerhans-cell histiocytosis,No,,
C966,Unifocal Langerhans-cell histiocytosis,No,,
C967,"Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue",No,,
C968,Histiocytic sarcoma,No,,
C969,"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified",No,,
C97X,Malignant neoplasms of independent (primary) multiple sites,No,,
D000,"Carcinoma in situ: Lip, oral cavity and pharynx",Yes,1,
D001,Carcinoma in situ: Oesophagus,No,,
D002,Carcinoma in situ: Stomach,No,,
D010,Carcinoma in situ: Colon,No,,
D011,Carcinoma in situ: Rectosigmoid junction,No,,
D012,Carcinoma in situ: Rectum,No,,
D013,Carcinoma in situ: Anus and anal canal,No,,
D014,Carcinoma in situ: Other and unspecified parts of intestine,No,,
D015,"Carcinoma in situ: Liver, gallbladder and bile ducts",No,,
D017,Carcinoma in situ: Other specified digestive organs,No,,
D019,"Carcinoma in situ: Digestive organ, unspecified",No,,
D020,Carcinoma in situ: Larynx,Yes,1,
D021,Carcinoma in situ: Trachea,Yes,1,
D022,Carcinoma in situ: Bronchus and lung,Yes,1,
D023,Carcinoma in situ: Other parts of respiratory system,Yes,1,
D024,"Carcinoma in situ: Respiratory system, unspecified",Yes,1,
D030,Melanoma in situ of lip,Yes,1,
D031,"Melanoma in situ of eyelid, including canthus",No,,
D032,Melanoma in situ of ear and external auricular canal,No,,
D033,Melanoma in situ of other and unspecified parts of face,No,,
D034,Melanoma in situ of scalp and neck,No,,
D035,Melanoma in situ of trunk,No,,
D036,"Melanoma in situ of upper limb, including shoulder",No,,
D037,"Melanoma in situ of lower limb, including hip",No,,
D038,Melanoma in situ of other sites,No,,
D039,"Melanoma in situ, unspecified",No,,
D040,Carcinoma in situ: Skin of lip,Yes,1,
D041,"Carcinoma in situ: Skin of eyelid, including canthus",No,,
D042,Carcinoma in situ: Skin of ear and external auricular canal,No,,
D043,Carcinoma in situ: Skin of other and unspecified parts of face,No,,
D044,Carcinoma in situ: Skin of scalp and neck,No,,
D045,Carcinoma in situ: Skin of trunk,No,,
D046,"Carcinoma in situ: Skin of upper limb, including shoulder",No,,
D047,"Carcinoma in situ: Skin of lower limb, including hip",No,,
D048,Carcinoma in situ: Skin of other sites,No,,
D049,"Carcinoma in situ: Skin, unspecified",No,,
D050,Lobular carcinoma in situ,No,,
D051,Intraductal carcinoma in situ,No,,
D057,Other carcinoma in situ of breast,No,,
D059,"Carcinoma in situ of breast, unspecified",No,,
D060,Carcinoma in situ: Endocervix,No,,
D061,Carcinoma in situ: Exocervix,No,,
D067,Carcinoma in situ: Other parts of cervix,No,,
D069,"Carcinoma in situ: Cervix, unspecified",No,,
D070,Carcinoma in situ: Endometrium,No,,
D071,Carcinoma in situ: Vulva,No,,
D072,Carcinoma in situ: Vagina,No,,
D073,Carcinoma in situ: Other and unspecified female genital organs,No,,
D074,Carcinoma in situ: Penis,No,,
D075,Carcinoma in situ: Prostate,No,,
D076,Carcinoma in situ: Other and unspecified male genital organs,No,,
D090,Carcinoma in situ: Bladder,No,,
D091,Carcinoma in situ: Other and unspecified urinary organs,No,,
D092,Carcinoma in situ: Eye,No,,
D093,Carcinoma in situ: Thyroid and other endocrine glands,No,,
D097,Carcinoma in situ of other specified sites,No,,
D099,"Carcinoma in situ, unspecified",No,,
D100,Benign neoplasm: Lip,Yes,1,
D101,Benign neoplasm: Tongue,Yes,1,
D102,Benign neoplasm: Floor of mouth,Yes,1,
D103,Benign neoplasm: Other and unspecified parts of mouth,Yes,1,
D104,Benign neoplasm: Tonsil,Yes,1,
D105,Benign neoplasm: Other parts of oropharynx,Yes,1,
D106,Benign neoplasm: Nasopharynx,No,,
D107,Benign neoplasm: Hypopharynx,No,,
D109,"Benign neoplasm: Pharynx, unspecified",Yes,1,
D110,Benign neoplasm: Parotid gland,No,,
D117,Benign neoplasm: Other major salivary glands,No,,
D119,"Benign neoplasm: Major salivary gland, unspecified",No,,
D120,Benign neoplasm: Caecum,No,,
D121,Benign neoplasm: Appendix,No,,
D122,Benign neoplasm: Ascending colon,No,,
D123,Benign neoplasm: Transverse colon,No,,
D124,Benign neoplasm: Descending colon,No,,
D125,Benign neoplasm: Sigmoid colon,No,,
D126,"Benign neoplasm: Colon, unspecified",No,,
D127,Benign neoplasm: Rectosigmoid junction,No,,
D128,Benign neoplasm: Rectum,No,,
D129,Benign neoplasm: Anus and anal canal,No,,
D130,Benign neoplasm: Oesophagus,No,,
D131,Benign neoplasm: Stomach,No,,
D132,Benign neoplasm: Duodenum,No,,
D133,Benign neoplasm: Other and unspecified parts of small intestine,No,,
D134,Benign neoplasm: Liver,No,,
D135,Benign neoplasm: Extrahepatic bile ducts,No,,
D136,Benign neoplasm: Pancreas,No,,
D137,Benign neoplasm: Endocrine pancreas,No,,
D139,Benign neoplasm: Ill-defined sites within the digestive system,No,,
D140,"Benign neoplasm: Middle ear, nasal cavity and accessory sinuses",No,,
D141,Benign neoplasm: Larynx,Yes,1,
D142,Benign neoplasm: Trachea,Yes,1,
D143,Benign neoplasm: Bronchus and lung,Yes,1,
D144,"Benign neoplasm: Respiratory system, unspecified",Yes,1,
D150,Benign neoplasm: Thymus,Yes,1,
D151,Benign neoplasm: Heart,Yes,1,
D152,Benign neoplasm: Mediastinum,Yes,1,
D157,Benign neoplasm: Other specified intrathoracic organs,Yes,1,
D159,"Benign neoplasm: Intrathoracic organ, unspecified",Yes,1,
D160,Benign neoplasm: Scapula and long bones of upper limb,No,,
D161,Benign neoplasm: Short bones of upper limb,No,,
D162,Benign neoplasm: Long bones of lower limb,No,,
D163,Benign neoplasm: Short bones of lower limb,No,,
D164,Benign neoplasm: Bones of skull and face,No,,
D165,Benign neoplasm: Lower jaw bone,No,,
D166,Benign neoplasm: Vertebral column,No,,
D167,"Benign neoplasm: Ribs, sternum and clavicle",No,,
D168,"Benign neoplasm: Pelvic bones, sacrum and coccyx",No,,
D169,"Benign neoplasm: Bone and articular cartilage, unspecified",No,,
D170,"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck",No,,
D171,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,No,,
D172,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,No,,
D173,Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites,No,,
D174,Benign lipomatous neoplasm of intrathoracic organs,No,,
D175,Benign lipomatous neoplasm of intra-abdominal organs,No,,
D176,Benign lipomatous neoplasm of spermatic cord,No,,
D177,Benign lipomatous neoplasm of other sites,No,,
D179,"Benign lipomatous neoplasm, unspecified",No,,
D180,"Haemangioma, any site",No,,
D181,"Lymphangioma, any site",No,,
D190,Benign neoplasm: Mesothelial tissue of pleura,Yes,1,
D191,Benign neoplasm: Mesothelial tissue of peritoneum,No,,
D197,Benign neoplasm: Mesothelial tissue of other sites,No,,
D199,"Benign neoplasm: Mesothelial tissue, unspecified",No,,
D200,Benign neoplasm: Retroperitoneum,No,,
D201,Benign neoplasm: Peritoneum,No,,
D210,"Benign neoplasm: Connective and other soft tissue of head, face and neck",Yes,1,
D211,"Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder",No,,
D212,"Benign neoplasm: Connective and other soft tissue of lower limb, including hip",No,,
D213,Benign neoplasm: Connective and other soft tissue of thorax,No,,
D214,Benign neoplasm: Connective and other soft tissue of abdomen,No,,
D215,Benign neoplasm: Connective and other soft tissue of pelvis,No,,
D216,"Benign neoplasm: Connective and other soft tissue of trunk, unspecified",No,,
D219,"Benign neoplasm: Connective and other soft tissue, unspecified",No,,
D220,Melanocytic naevi of lip,No,,
D221,"Melanocytic naevi of eyelid, including canthus",No,,
D222,Melanocytic naevi of ear and external auricular canal,No,,
D223,Melanocytic naevi of other and unspecified parts of face,No,,
D224,Melanocytic naevi of scalp and neck,No,,
D225,Melanocytic naevi of trunk,No,,
D226,"Melanocytic naevi of upper limb, including shoulder",No,,
D227,"Melanocytic naevi of lower limb, including hip",No,,
D229,"Melanocytic naevi, unspecified",No,,
D230,Benign neoplasm: Skin of lip,No,,
D231,"Benign neoplasm: Skin of eyelid, including canthus",No,,
D232,Benign neoplasm: Skin of ear and external auricular canal,No,,
D233,Benign neoplasm: Skin of other and unspecified parts of face,No,,
D234,Benign neoplasm: Skin of scalp and neck,No,,
D235,Benign neoplasm: Skin of trunk,No,,
D236,"Benign neoplasm: Skin of upper limb, including shoulder",No,,
D237,"Benign neoplasm: Skin of lower limb, including hip",No,,
D239,"Benign neoplasm: Skin, unspecified",No,,
D24X,Benign neoplasm of breast,No,,
D250,Submucous leiomyoma of uterus,No,,
D251,Intramural leiomyoma of uterus,No,,
D252,Subserosal leiomyoma of uterus,No,,
D259,"Leiomyoma of uterus, unspecified",No,,
D260,Other benign neoplasm: Cervix uteri,No,,
D261,Other benign neoplasm: Corpus uteri,No,,
D267,Other benign neoplasm: Other parts of uterus,No,,
D269,"Other benign neoplasm: Uterus, unspecified",No,,
D27X,Benign neoplasm of ovary,No,,
D280,Benign neoplasm: Vulva,No,,
D281,Benign neoplasm: Vagina,No,,
D282,Benign neoplasm: Uterine tubes and ligaments,No,,
D287,Benign neoplasm: Other specified female genital organs,No,,
D289,"Benign neoplasm: Female genital organ, unspecified",No,,
D290,Benign neoplasm: Penis,No,,
D291,Benign neoplasm: Prostate,No,,
D292,Benign neoplasm: Testis,No,,
D293,Benign neoplasm: Epididymis,No,,
D294,Benign neoplasm: Scrotum,No,,
D297,Benign neoplasm: Other male genital organs,No,,
D299,"Benign neoplasm: Male genital organ, unspecified",No,,
D300,Benign neoplasm: Kidney,No,,
D301,Benign neoplasm: Renal pelvis,No,,
D302,Benign neoplasm: Ureter,No,,
D303,Benign neoplasm: Bladder,No,,
D304,Benign neoplasm: Urethra,No,,
D307,Benign neoplasm: Other urinary organs,No,,
D309,"Benign neoplasm: Urinary organ, unspecified",No,,
D310,Benign neoplasm: Conjunctiva,No,,
D311,Benign neoplasm: Cornea,No,,
D312,Benign neoplasm: Retina,No,,
D313,Benign neoplasm: Choroid,No,,
D314,Benign neoplasm: Ciliary body,No,,
D315,Benign neoplasm: Lacrimal gland and duct,No,,
D316,"Benign neoplasm: Orbit, unspecified",No,,
D319,"Benign neoplasm: Eye, unspecified",No,,
D320,Benign neoplasm: Cerebral meninges,Yes,1,
D321,Benign neoplasm: Spinal meninges,No,,
D329,"Benign neoplasm: Meninges, unspecified",Yes,1,
D330,"Benign neoplasm: Brain, supratentorial",Yes,1,
D331,"Benign neoplasm: Brain, infratentorial",Yes,1,
D332,"Benign neoplasm: Brain, unspecified",Yes,1,
D333,Benign neoplasm: Cranial nerves,Yes,1,
D334,Benign neoplasm: Spinal cord,No,,
D337,Benign neoplasm: Other specified parts of central nervous system,No,,
D339,"Benign neoplasm: Central nervous system, unspecified",No,,
D34X,Benign neoplasm of thyroid gland,No,,
D350,Benign neoplasm: Adrenal gland,Yes,1,
D351,Benign neoplasm: Parathyroid gland,No,,
D352,Benign neoplasm: Pituitary gland,Yes,1,
D353,Benign neoplasm: Craniopharyngeal duct,No,,
D354,Benign neoplasm: Pineal gland,No,,
D355,Benign neoplasm: Carotid body,Yes,1,
D356,Benign neoplasm: Aortic body and other paraganglia,Yes,1,
D357,Benign neoplasm: Other specified endocrine glands,No,,
D358,Benign neoplasm: Pluriglandular involvement,No,,
D359,"Benign neoplasm: Endocrine gland, unspecified",No,,
D360,Benign neoplasm: Lymph nodes,No,,
D361,Benign neoplasm: Peripheral nerves and autonomic nervous system,Yes,1,
D367,Benign neoplasm: Other specified sites,No,,
D369,Benign neoplasm: Benign neoplasm of unspecified site,No,,
D370,"Neoplasm of uncertain or unknown behaviour: Lip, oral cavity and pharynx",Yes,1,
D371,Neoplasm of uncertain or unknown behaviour: Stomach,No,,
D372,Neoplasm of uncertain or unknown behaviour: Small intestine,No,,
D373,Neoplasm of uncertain or unknown behaviour: Appendix,No,,
D374,Neoplasm of uncertain or unknown behaviour: Colon,No,,
D375,Neoplasm of uncertain or unknown behaviour: Rectum,No,,
D376,"Neoplasm of uncertain or unknown behaviour: Liver, gallbladder and bile ducts",No,,
D377,Neoplasm of uncertain or unknown behaviour: Other digestive organs,No,,
D379,"Neoplasm of uncertain or unknown behaviour: Digestive organ, unspecified",No,,
D380,Neoplasm of uncertain or unknown behaviour: Larynx,Yes,1,
D381,"Neoplasm of uncertain or unknown behaviour: Trachea, bronchus and lung",Yes,1,
D382,Neoplasm of uncertain or unknown behaviour: Pleura,Yes,1,
D383,Neoplasm of uncertain or unknown behaviour: Mediastinum,Yes,1,
D384,Neoplasm of uncertain or unknown behaviour: Thymus,No,,
D385,Neoplasm of uncertain or unknown behaviour: Other respiratory organs,No,,
D386,"Neoplasm of uncertain or unknown behaviour: Respiratory organ, unspecified",Yes,1,
D390,Neoplasm of uncertain or unknown behaviour: Uterus,No,,
D391,Neoplasm of uncertain or unknown behaviour: Ovary,No,,
D392,Neoplasm of uncertain or unknown behaviour: Placenta,No,,
D397,Neoplasm of uncertain or unknown behaviour: Other female genital organs,No,,
D399,"Neoplasm of uncertain or unknown behaviour: Female genital organ, unspecified",No,,
D400,Neoplasm of uncertain or unknown behaviour: Prostate,No,,
D401,Neoplasm of uncertain or unknown behaviour: Testis,No,,
D407,Neoplasm of uncertain or unknown behaviour: Other male genital organs,No,,
D409,"Neoplasm of uncertain or unknown behaviour: Male genital organ, unspecified",No,,
D410,Neoplasm of uncertain or unknown behaviour: Kidney,No,,
D411,Neoplasm of uncertain or unknown behaviour: Renal pelvis,No,,
D412,Neoplasm of uncertain or unknown behaviour: Ureter,No,,
D413,Neoplasm of uncertain or unknown behaviour: Urethra,No,,
D414,Neoplasm of uncertain or unknown behaviour: Bladder,No,,
D417,Neoplasm of uncertain or unknown behaviour: Other urinary organs,No,,
D419,"Neoplasm of uncertain or unknown behaviour: Urinary organ, unspecified",No,,
D420,Neoplasm of uncertain or unknown behaviour: Cerebral meninges,Yes,1,
D421,Neoplasm of uncertain or unknown behaviour: Spinal meninges,No,,
D429,"Neoplasm of uncertain or unknown behaviour: Meninges, unspecified",Yes,1,
D430,"Neoplasm of uncertain or unknown behaviour: Brain, supratentorial",Yes,1,
D431,"Neoplasm of uncertain or unknown behaviour: Brain, infratentorial",Yes,1,
D432,"Neoplasm of uncertain or unknown behaviour: Brain, unspecified",Yes,1,
D433,Neoplasm of uncertain or unknown behaviour: Cranial nerves,Yes,1,
D434,Neoplasm of uncertain or unknown behaviour: Spinal cord,No,,
D437,Neoplasm of uncertain or unknown behaviour: Other parts of central nervous system,No,,
D439,"Neoplasm of uncertain or unknown behaviour: Central nervous system, unspecified",No,,
D440,Neoplasm of uncertain or unknown behaviour: Thyroid gland,No,,
D441,Neoplasm of uncertain or unknown behaviour: Adrenal gland,Yes,1,
D442,Neoplasm of uncertain or unknown behaviour: Parathyroid gland,No,,
D443,Neoplasm of uncertain or unknown behaviour: Pituitary gland,Yes,1,
D444,Neoplasm of uncertain or unknown behaviour: Craniopharyngeal duct,No,,
D445,Neoplasm of uncertain or unknown behaviour: Pineal gland,No,,
D446,Neoplasm of uncertain or unknown behaviour: Carotid body,Yes,1,
D447,Neoplasm of uncertain or unknown behaviour: Aortic body and other paraganglia,Yes,1,
D448,Neoplasm of uncertain or unknown behaviour: Pluriglandular involvement,No,,
D449,"Neoplasm of uncertain or unknown behaviour: Endocrine gland, unspecified",No,,
D45X,Polycythaemia vera,No,,
D460,"Refractory anaemia without ring sideroblasts, so stated",No,,
D461,Refractory anaemia with ring sideroblasts,No,,
D462,Refractory anaemia with excess of blasts [RAEB],No,,
D464,"Refractory anaemia, unspecified",No,,
D465,Refractory anaemia with multi-lineage dysplasia,No,,
D466,Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality,No,,
D467,Other myelodysplastic syndromes,No,,
D469,"Myelodysplastic syndrome, unspecified",No,,
D470,Histiocytic and mast cell tumours of uncertain and unknown behaviour,No,,
D471,Chronic myeloproliferative disease,No,,
D472,Monoclonal gammopathy of undetermined significance (MGUS),No,,
D473,Essential (haemorrhagic) thrombocythaemia,No,,
D474,Osteomyelofibrosis,No,,
D475,Chronic eosinophilic leukaemia [hypereosinophilic syndrome],No,,
D477,"Other specified neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",No,,
D479,"Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified",No,,
D480,Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage,No,,
D481,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue,No,,
D482,Neoplasm of uncertain or unknown behaviour: Peripheral nerves and autonomic nervous system,No,,
D483,Neoplasm of uncertain or unknown behaviour: Retroperitoneum,No,,
D484,Neoplasm of uncertain or unknown behaviour: Peritoneum,No,,
D485,Neoplasm of uncertain or unknown behaviour: Skin,No,,
D486,Neoplasm of uncertain or unknown behaviour: Breast,No,,
D487,Neoplasm of uncertain or unknown behaviour: Other specified sites,No,,
D489,"Neoplasm of uncertain or unknown behaviour: Neoplasm of uncertain or unknown behaviour, unspecified",No,,
D500,Iron deficiency anaemia secondary to blood loss (chronic),No,,
D501,Sideropenic dysphagia,No,,
D508,Other iron deficiency anaemias,No,,
D509,"Iron deficiency anaemia, unspecified",No,,
D510,Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,No,,
D511,Vitamin B12 deficiency anaemia due to selective vitamin B12 malabsorption with proteinuria,No,,
D512,Transcobalamin II deficiency,No,,
D513,Other dietary vitamin B12 deficiency anaemia,No,,
D518,Other vitamin B12 deficiency anaemias,No,,
D519,"Vitamin B12 deficiency anaemia, unspecified",No,,
D520,Dietary folate deficiency anaemia,No,,
D521,Drug-induced folate deficiency anaemia,No,,
D528,Other folate deficiency anaemias,No,,
D529,"Folate deficiency anaemia, unspecified",No,,
D530,Protein deficiency anaemia,No,,
D531,"Other megaloblastic anaemias, not elsewhere classified",No,,
D532,Scorbutic anaemia,No,,
D538,Other specified nutritional anaemias,No,,
D539,"Nutritional anaemia, unspecified",No,,
D550,Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency,Yes,1,
D551,Anaemia due to other disorders of glutathione metabolism,Yes,1,
D552,Anaemia due to disorders of glycolytic enzymes,Yes,1,
D553,Anaemia due to disorders of nucleotide metabolism,Yes,1,
D558,Other anaemias due to enzyme disorders,Yes,1,
D559,"Anaemia due to enzyme disorder, unspecified",Yes,1,
D560,Alpha thalassaemia,No,,
D561,Beta thalassaemia,No,,
D562,Delta-beta thalassaemia,No,,
D563,Thalassaemia trait,No,,
D564,Hereditary persistence of fetal haemoglobin [HPFH],No,,
D568,Other thalassaemias,No,,
D569,"Thalassaemia, unspecified",No,,
D570,Sickle-cell anaemia with crisis,Yes,2,
D571,Sickle-cell anaemia without crisis,Yes,1,
D572,Double heterozygous sickling disorders,Yes,1,
D573,Sickle-cell trait,No,,
D578,Other sickle-cell disorders,No,,
D580,Hereditary spherocytosis,No,,
D581,Hereditary elliptocytosis,No,,
D582,Other haemoglobinopathies,No,,
D588,Other specified hereditary haemolytic anaemias,Yes,1,
D589,"Hereditary haemolytic anaemia, unspecified",Yes,1,
D590,Drug-induced autoimmune haemolytic anaemia,Yes,1,
D591,Other autoimmune haemolytic anaemias,Yes,1,
D592,Drug-induced nonautoimmune haemolytic anaemia,Yes,1,
D593,Haemolytic-uraemic syndrome,Yes,1,
D594,Other nonautoimmune haemolytic anaemias,Yes,1,
D595,Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli],Yes,1,
D596,Haemoglobinuria due to haemolysis from other external causes,Yes,1,
D598,Other acquired haemolytic anaemias,Yes,1,
D599,"Acquired haemolytic anaemia, unspecified",Yes,1,
D600,Chronic acquired pure red cell aplasia,Yes,1,
D601,Transient acquired pure red cell aplasia,Yes,1,
D608,Other acquired pure red cell aplasias,Yes,1,
D609,"Acquired pure red cell aplasia, unspecified",Yes,1,
D610,Constitutional aplastic anaemia,Yes,1,
D611,Drug-induced aplastic anaemia,Yes,1,
D612,Aplastic anaemia due to other external agents,Yes,1,
D613,Idiopathic aplastic anaemia,Yes,1,
D618,Other specified aplastic anaemias,Yes,1,
D619,"Aplastic anaemia, unspecified",Yes,1,
D62X,Acute posthaemorrhagic anaemia,Yes,1,
D630,Anaemia in neoplastic disease,Yes,1,
D638,Anaemia in other chronic diseases classified elsewhere,Yes,1,
D640,Hereditary sideroblastic anaemia,Yes,1,
D641,Secondary sideroblastic anaemia due to disease,Yes,1,
D642,Secondary sideroblastic anaemia due to drugs and toxins,Yes,1,
D643,Other sideroblastic anaemias,Yes,1,
D644,Congenital dyserythropoietic anaemia,Yes,1,
D648,Other specified anaemias,Yes,1,
D649,"Anaemia, unspecified",Yes,1,
D65X,Disseminated intravascular coagulation [defibrination syndrome],Yes,2,
D66X,Hereditary factor VIII deficiency,Yes,1,
D67X,Hereditary factor IX deficiency,Yes,1,
D680,Von Willebrand disease,Yes,1,
D681,Hereditary factor XI deficiency,Yes,1,
D682,Hereditary deficiency of other clotting factors,Yes,1,
D683,Haemorrhagic disorder due to circulating anticoagulants,Yes,1,
D684,Acquired coagulation factor deficiency,Yes,1,
D685,Primary Thrombophilia,Yes,1,
D686,Other Thrombophilia,Yes,1,
D688,Other specified coagulation defects,Yes,1,
D689,"Coagulation defect, unspecified",Yes,1,
D690,Allergic purpura,Yes,1,
